Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.206,0.385,0.15
birch,Recall,0.0,1.0,0.0,0.238,0.426,0.183
birch,F-Score,0.0,1.0,0.0,0.217,0.395,0.158
iforest,Precision,0.0,1.0,0.0,0.131,0.314,0.1
iforest,Recall,0.0,1.0,0.0,0.162,0.369,0.138
iforest,F-Score,0.0,1.0,0.0,0.142,0.328,0.109
knn,Precision,0.0,1.0,0.0,0.131,0.314,0.1
knn,Recall,0.0,1.0,0.0,0.162,0.369,0.138
knn,F-Score,0.0,1.0,0.0,0.142,0.328,0.109
lstm,Precision,0.0,1.0,0.0,0.094,0.263,0.07
lstm,Recall,0.0,1.0,0.0,0.125,0.331,0.111
lstm,F-Score,0.0,1.0,0.0,0.104,0.282,0.08
svm,Precision,0.0,1.0,0.0,0.094,0.263,0.07
svm,Recall,0.0,1.0,0.0,0.125,0.331,0.111
svm,F-Score,0.0,1.0,0.0,0.104,0.282,0.08
