Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.188,0.39,0.154
birch,Recall,0.0,1.0,0.0,0.188,0.39,0.154
birch,F-Score,0.0,1.0,0.0,0.188,0.39,0.154
iforest,Precision,0.0,1.0,0.0,0.15,0.357,0.129
iforest,Recall,0.0,1.0,0.0,0.15,0.357,0.129
iforest,F-Score,0.0,1.0,0.0,0.15,0.357,0.129
knn,Precision,0.0,1.0,0.0,0.175,0.38,0.146
knn,Recall,0.0,1.0,0.0,0.175,0.38,0.146
knn,F-Score,0.0,1.0,0.0,0.175,0.38,0.146
lstm,Precision,0.0,1.0,0.0,0.075,0.263,0.07
lstm,Recall,0.0,1.0,0.0,0.075,0.263,0.07
lstm,F-Score,0.0,1.0,0.0,0.075,0.263,0.07
svm,Precision,0.0,1.0,0.0,0.075,0.263,0.07
svm,Recall,0.0,1.0,0.0,0.075,0.263,0.07
svm,F-Score,0.0,1.0,0.0,0.075,0.263,0.07
