Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.238,0.426,0.183
birch,Recall,0.0,1.0,0.0,0.238,0.426,0.183
birch,F-Score,0.0,1.0,0.0,0.238,0.426,0.183
iforest,Precision,0.0,1.0,0.0,0.15,0.357,0.129
iforest,Recall,0.0,1.0,0.0,0.15,0.357,0.129
iforest,F-Score,0.0,1.0,0.0,0.15,0.357,0.129
knn,Precision,0.0,1.0,0.0,0.25,0.433,0.19
knn,Recall,0.0,1.0,0.0,0.25,0.433,0.19
knn,F-Score,0.0,1.0,0.0,0.25,0.433,0.19
lstm,Precision,0.0,1.0,0.0,0.125,0.331,0.111
lstm,Recall,0.0,1.0,0.0,0.125,0.331,0.111
lstm,F-Score,0.0,1.0,0.0,0.125,0.331,0.111
svm,Precision,0.0,1.0,0.0,0.125,0.331,0.111
svm,Recall,0.0,1.0,0.0,0.125,0.331,0.111
svm,F-Score,0.0,1.0,0.0,0.125,0.331,0.111
